,sold_at,type,price_total,status,date
269,2018-02-24 16:00:00,retail_medical,-454.45,return,2018-02-24
270,2018-02-24 16:00:00,retail_medical,2151542.0299999975,sale,2018-02-24
271,2018-02-24 16:00:00,retail_recreational,50378.63999999998,sale,2018-02-24
272,2018-02-24 16:00:00,wholesale,4726481.550000001,sale,2018-02-24
273,2018-02-25 16:00:00,retail_medical,-531.8300000000002,return,2018-02-25
274,2018-02-25 16:00:00,retail_medical,2231448.950000009,sale,2018-02-25
275,2018-02-25 16:00:00,retail_recreational,22.82,return,2018-02-25
276,2018-02-25 16:00:00,retail_recreational,53397.14999999993,sale,2018-02-25
277,2018-02-25 16:00:00,wholesale,8027433.179999999,sale,2018-02-25
278,2018-02-26 16:00:00,retail_medical,-487.78999999999996,return,2018-02-26
279,2018-02-26 16:00:00,retail_medical,2179269.8800000027,sale,2018-02-26
280,2018-02-26 16:00:00,retail_recreational,51985.539999999964,sale,2018-02-26
281,2018-02-26 16:00:00,wholesale,4570382.700000001,sale,2018-02-26
282,2018-02-27 16:00:00,retail_medical,-1057.2100000000005,return,2018-02-27
283,2018-02-27 16:00:00,retail_medical,2466325.220000002,sale,2018-02-27
284,2018-02-27 16:00:00,wholesale,7347400.269999996,sale,2018-02-27
285,2018-02-28 16:00:00,retail_medical,-410.1199999999999,return,2018-02-28
286,2018-02-28 16:00:00,retail_medical,2815319.549999997,sale,2018-02-28
287,2018-02-28 16:00:00,wholesale,5691943.869999996,sale,2018-02-28
288,2018-03-01 16:00:00,retail_medical,-526.79,return,2018-03-01
289,2018-03-01 16:00:00,retail_medical,3377546.3100000136,sale,2018-03-01
290,2018-03-01 16:00:00,retail_recreational,105290.95000000006,sale,2018-03-01
291,2018-03-01 16:00:00,wholesale,3400040.3499999987,sale,2018-03-01
292,2018-03-02 16:00:00,retail_medical,-501.3600000000002,return,2018-03-02
293,2018-03-02 16:00:00,retail_medical,2831342.6499999966,sale,2018-03-02
294,2018-03-02 16:00:00,retail_recreational,99844.62999999996,sale,2018-03-02
295,2018-03-02 16:00:00,wholesale,1445411.5700000003,sale,2018-03-02
296,2018-03-03 16:00:00,retail_medical,-435.57,return,2018-03-03
297,2018-03-03 16:00:00,retail_medical,2138289.969999998,sale,2018-03-03
298,2018-03-03 16:00:00,retail_recreational,79645.48999999996,sale,2018-03-03
299,2018-03-03 16:00:00,wholesale,1402010.8500000008,sale,2018-03-03
300,2018-03-04 16:00:00,retail_medical,-394.44999999999993,return,2018-03-04
301,2018-03-04 16:00:00,retail_medical,2276255.05,sale,2018-03-04
302,2018-03-04 16:00:00,retail_recreational,77987.61999999997,sale,2018-03-04
303,2018-03-04 16:00:00,wholesale,4170872.2499999953,sale,2018-03-04
304,2018-03-05 16:00:00,retail_medical,-369.62,return,2018-03-05
305,2018-03-05 16:00:00,retail_medical,2219149.5499999993,sale,2018-03-05
306,2018-03-05 16:00:00,wholesale,4822461.969999999,sale,2018-03-05
307,2018-03-06 16:00:00,retail_medical,-447.89000000000004,return,2018-03-06
308,2018-03-06 16:00:00,retail_medical,2248494.7299999977,sale,2018-03-06
309,2018-03-06 16:00:00,wholesale,3900883.069999995,sale,2018-03-06
310,2018-03-07 16:00:00,retail_medical,-1085.3000000000002,return,2018-03-07
311,2018-03-07 16:00:00,retail_medical,2335654.3000000007,sale,2018-03-07
312,2018-03-07 16:00:00,wholesale,3229567.4799999986,sale,2018-03-07
313,2018-03-08 16:00:00,retail_medical,-823.0799999999999,return,2018-03-08
314,2018-03-08 16:00:00,retail_medical,3138670.219999993,sale,2018-03-08
315,2018-03-08 16:00:00,wholesale,6135189.609999997,sale,2018-03-08
316,2018-03-09 16:00:00,retail_medical,-477.05000000000007,return,2018-03-09
317,2018-03-09 16:00:00,retail_medical,2680058.790000003,sale,2018-03-09
318,2018-03-09 16:00:00,retail_recreational,126257.91999999995,sale,2018-03-09
319,2018-03-09 16:00:00,wholesale,709895.8200000005,sale,2018-03-09
320,2018-03-10 16:00:00,retail_medical,-371.57000000000005,return,2018-03-10
321,2018-03-10 16:00:00,retail_medical,2036554.299999998,sale,2018-03-10
322,2018-03-10 16:00:00,retail_recreational,99513.03999999998,sale,2018-03-10
323,2018-03-10 16:00:00,wholesale,608198.5100000001,sale,2018-03-10
324,2018-03-11 17:00:00,retail_medical,-279.1,return,2018-03-11
325,2018-03-11 17:00:00,retail_medical,2081140.4100000022,sale,2018-03-11
326,2018-03-11 17:00:00,retail_recreational,98746.84999999995,sale,2018-03-11
327,2018-03-11 17:00:00,wholesale,5744625.599999995,sale,2018-03-11
328,2018-03-12 17:00:00,retail_medical,-441.93000000000006,return,2018-03-12
329,2018-03-12 17:00:00,retail_medical,2081307.1300000045,sale,2018-03-12
330,2018-03-12 17:00:00,retail_recreational,93403.13999999998,sale,2018-03-12
331,2018-03-12 17:00:00,wholesale,5746578.189999991,sale,2018-03-12
332,2018-03-13 17:00:00,retail_medical,-359.25,return,2018-03-13
333,2018-03-13 17:00:00,retail_medical,2240489.9900000086,sale,2018-03-13
334,2018-03-13 17:00:00,retail_recreational,13.69,return,2018-03-13
335,2018-03-13 17:00:00,retail_recreational,100353.81999999995,sale,2018-03-13
336,2018-03-13 17:00:00,wholesale,4129613.059999998,sale,2018-03-13
337,2018-03-14 17:00:00,retail_medical,-601.7200000000004,return,2018-03-14
338,2018-03-14 17:00:00,retail_medical,2218401.470000002,sale,2018-03-14
339,2018-03-14 17:00:00,retail_recreational,0.0,return,2018-03-14
340,2018-03-14 17:00:00,retail_recreational,107752.03999999992,sale,2018-03-14
341,2018-03-14 17:00:00,wholesale,4140379.509999994,sale,2018-03-14
342,2018-03-15 17:00:00,retail_medical,-476.96000000000004,return,2018-03-15
343,2018-03-15 17:00:00,retail_medical,3069430.4500000016,sale,2018-03-15
344,2018-03-15 17:00:00,retail_recreational,0.0,return,2018-03-15
345,2018-03-15 17:00:00,retail_recreational,140927.43999999994,sale,2018-03-15
346,2018-03-15 17:00:00,wholesale,4572384.960000009,sale,2018-03-15
347,2018-03-16 17:00:00,retail_medical,-178.17,return,2018-03-16
348,2018-03-16 17:00:00,retail_medical,2687436.170000001,sale,2018-03-16
349,2018-03-16 17:00:00,retail_recreational,0.0,return,2018-03-16
350,2018-03-16 17:00:00,retail_recreational,123035.77999999998,sale,2018-03-16
351,2018-03-16 17:00:00,wholesale,343991.33000000013,sale,2018-03-16
352,2018-03-17 17:00:00,retail_medical,-322.68,return,2018-03-17
353,2018-03-17 17:00:00,retail_medical,2060680.7099999997,sale,2018-03-17
354,2018-03-17 17:00:00,retail_recreational,95974.44999999997,sale,2018-03-17
355,2018-03-17 17:00:00,wholesale,1252182.2099999993,sale,2018-03-17
356,2018-03-18 17:00:00,retail_medical,-446.6,return,2018-03-18
357,2018-03-18 17:00:00,retail_medical,2039768.6600000027,sale,2018-03-18
358,2018-03-18 17:00:00,retail_recreational,0.0,return,2018-03-18
359,2018-03-18 17:00:00,retail_recreational,98601.44999999991,sale,2018-03-18
360,2018-03-18 17:00:00,wholesale,5134588.069999995,sale,2018-03-18
361,2018-03-19 17:00:00,retail_medical,-501.4699999999999,return,2018-03-19
362,2018-03-19 17:00:00,retail_medical,2182468.7000000044,sale,2018-03-19
363,2018-03-19 17:00:00,retail_recreational,103466.69999999992,sale,2018-03-19
364,2018-03-19 17:00:00,wholesale,8400508.34000001,sale,2018-03-19
365,2018-03-20 17:00:00,retail_medical,-336.72999999999996,return,2018-03-20
366,2018-03-20 17:00:00,retail_medical,2225723.41,sale,2018-03-20
367,2018-03-20 17:00:00,retail_recreational,0.0,return,2018-03-20
368,2018-03-20 17:00:00,retail_recreational,111148.79999999992,sale,2018-03-20
369,2018-03-20 17:00:00,wholesale,4480446.249999996,sale,2018-03-20
370,2018-03-21 17:00:00,retail_medical,-405.91,return,2018-03-21
371,2018-03-21 17:00:00,retail_medical,2291789.160000003,sale,2018-03-21
372,2018-03-21 17:00:00,retail_recreational,113810.00999999992,sale,2018-03-21
373,2018-03-21 17:00:00,wholesale,4282784.669999995,sale,2018-03-21
374,2018-03-22 17:00:00,retail_medical,-332.09999999999997,return,2018-03-22
375,2018-03-22 17:00:00,retail_medical,2938467.609999999,sale,2018-03-22
376,2018-03-22 17:00:00,retail_recreational,31.7,return,2018-03-22
377,2018-03-22 17:00:00,retail_recreational,178951.05000000005,sale,2018-03-22
